instance,lb,ub,gap,status_ref,known_opt,found_obj,correct,time_sec,timed_out
N1C2W1_B.txt,26,26,0,Solved,26,26,True,0.1306,False
N1C2W1_C.txt,23,23,0,Solved,23,,,5.0798,True
N1C2W1_D.txt,21,21,0,Solved,21,21,True,0.1662,False
N1C2W1_E.txt,17,17,0,Solved,17,17,True,0.141,False
N1C2W1_F.txt,22,22,0,Solved,22,22,True,0.1308,False
N1C2W1_G.txt,21,21,0,Solved,21,21,True,0.2136,False
N1C2W1_H.txt,23,23,0,Solved,23,23,True,0.1367,False
N1C2W1_I.txt,27,27,0,Solved,27,27,True,0.135,False
N1C2W1_J.txt,27,27,0,Solved,27,27,True,0.1297,False
N1C2W1_K.txt,24,24,0,Solved,24,24,True,0.1218,False
N1C2W1_L.txt,25,25,0,Solved,25,25,True,0.2029,False
N1C2W1_M.txt,26,26,0,Solved,26,26,True,0.1286,False
N1C2W1_N.txt,21,21,0,Solved,21,21,True,0.2391,False
N1C2W1_O.txt,15,15,0,Solved,15,15,True,0.1393,False
N1C2W1_P.txt,21,21,0,Solved,21,21,True,0.1353,False
N1C2W1_Q.txt,24,24,0,Solved,24,24,True,0.1346,False
N1C2W1_R.txt,23,23,0,Solved,23,23,True,0.1362,False
N1C2W1_S.txt,22,22,0,Solved,22,22,True,0.1347,False
N1C2W1_T.txt,22,22,0,Solved,22,22,True,0.1316,False
N1C2W2_A.txt,24,24,0,Solved,24,24,True,0.1271,False
N1C2W2_B.txt,27,27,0,Solved,27,27,True,0.1275,False
N1C2W2_C.txt,29,29,0,Solved,29,29,True,0.1367,False
N1C2W2_D.txt,24,24,0,Solved,24,24,True,0.1316,False
N1C2W2_E.txt,33,33,0,Solved,33,33,True,0.137,False
N1C2W2_F.txt,26,26,0,Solved,26,26,True,0.1804,False
N1C2W2_G.txt,29,29,0,Solved,29,29,True,0.1362,False
N1C2W2_H.txt,23,23,0,Solved,23,23,True,0.1318,False
N1C2W2_I.txt,25,25,0,Solved,25,25,True,0.1234,False
N1C2W2_J.txt,25,25,0,Solved,25,25,True,0.1368,False
N1C2W2_K.txt,29,29,0,Solved,29,29,True,0.127,False
N1C2W2_L.txt,30,30,0,Solved,30,30,True,0.1327,False
N1C2W2_M.txt,30,30,0,Solved,30,30,True,0.1292,False
N1C2W2_N.txt,26,26,0,Solved,26,26,True,0.1281,False
N1C2W2_O.txt,29,29,0,Solved,29,29,True,0.1327,False
N1C2W2_P.txt,23,23,0,Solved,23,23,True,0.1326,False
N1C2W2_Q.txt,30,30,0,Solved,30,30,True,0.1336,False
N1C2W2_R.txt,25,25,0,Solved,25,25,True,0.1355,False
N1C2W2_S.txt,24,24,0,Solved,24,24,True,0.133,False
N1C2W2_T.txt,26,26,0,Solved,26,26,True,0.1286,False
N1C2W4_A.txt,29,29,0,Solved,29,29,True,0.129,False
N1C2W4_B.txt,32,32,0,Solved,32,32,True,0.216,False
N1C2W4_C.txt,30,30,0,Solved,30,30,True,0.135,False
N1C2W4_D.txt,28,28,0,Solved,28,28,True,0.1378,False
N1C2W4_E.txt,30,30,0,Solved,30,30,True,0.1384,False
N1C2W4_F.txt,32,32,0,Solved,32,32,True,0.1337,False
N1C2W4_G.txt,30,30,0,Solved,30,30,True,0.1404,False
N1C2W4_H.txt,30,30,0,Solved,30,30,True,0.1322,False
N1C2W4_I.txt,35,35,0,Solved,35,35,True,0.1395,False
N1C2W4_J.txt,30,30,0,Solved,30,30,True,0.1321,False
N1C2W4_K.txt,32,32,0,Solved,32,32,True,0.1198,False
N1C2W4_L.txt,31,31,0,Solved,31,,,5.0837,True
N1C2W4_M.txt,31,31,0,Solved,31,31,True,0.168,False
N1C2W4_N.txt,32,32,0,Solved,32,32,True,0.1615,False
N1C2W4_O.txt,30,30,0,Solved,30,30,True,0.1381,False
N1C2W4_P.txt,28,28,0,Solved,28,28,True,0.1298,False
N1C2W4_Q.txt,33,33,0,Solved,33,33,True,0.1208,False
N1C2W4_R.txt,35,35,0,Solved,35,35,True,0.1285,False
N1C2W4_S.txt,38,38,0,Solved,38,38,True,0.1311,False
N1C2W4_T.txt,29,29,0,Solved,29,,,5.0704,True
N1C3W1_A.txt,16,16,0,Solved,16,16,True,0.1768,False
N1C3W1_B.txt,16,16,0,Solved,16,16,True,0.1347,False
N1C3W1_C.txt,17,17,0,Solved,17,17,True,0.1374,False
N1C3W1_D.txt,19,19,0,Solved,19,19,True,0.1376,False
N1C3W1_E.txt,16,16,0,Solved,16,16,True,0.1325,False
N1C3W1_F.txt,20,20,0,Solved,20,20,True,0.1289,False
N1C3W1_G.txt,15,15,0,Solved,15,15,True,0.1405,False
N1C3W1_H.txt,19,19,0,Solved,19,19,True,0.1236,False
N1C3W1_I.txt,17,17,0,Solved,17,17,True,0.1359,False
N1C3W1_J.txt,16,16,0,Solved,16,16,True,0.1358,False
N1C3W1_K.txt,17,17,0,Solved,17,17,True,0.1258,False
N1C3W1_L.txt,17,17,0,Solved,17,17,True,0.1409,False
N1C3W1_M.txt,17,17,0,Solved,17,17,True,0.1279,False
N1C3W1_N.txt,20,20,0,Solved,20,20,True,0.1313,False
N1C3W1_O.txt,16,16,0,Solved,16,16,True,0.1377,False
N1C3W1_P.txt,19,19,0,Solved,19,19,True,0.1333,False
N1C3W1_Q.txt,20,20,0,Solved,20,20,True,0.1371,False
N1C3W1_R.txt,21,21,0,Solved,21,,,5.0792,True
N1C3W1_S.txt,16,16,0,Solved,16,16,True,0.176,False
N1C3W1_T.txt,18,18,0,Solved,18,18,True,0.1325,False
N1C3W2_A.txt,19,19,0,Solved,19,19,True,0.1421,False
N1C3W2_B.txt,20,20,0,Solved,20,20,True,0.1335,False
N1C3W2_C.txt,22,22,0,Solved,22,22,True,0.1321,False
N1C3W2_D.txt,20,20,0,Solved,20,20,True,0.1345,False
N1C3W2_E.txt,21,21,0,Solved,21,21,True,0.1314,False
N1C3W2_F.txt,23,23,0,Solved,23,,,5.0828,True
N1C3W2_G.txt,23,23,0,Solved,23,23,True,0.2362,False
N1C3W2_H.txt,23,23,0,Solved,23,,,5.0823,True
N1C3W2_I.txt,19,19,0,Solved,19,19,True,0.1677,False
N1C3W2_J.txt,22,22,0,Solved,22,22,True,0.2289,False
N1C3W2_K.txt,21,21,0,Solved,21,21,True,0.1288,False
N1C3W2_L.txt,21,21,0,Solved,21,21,True,0.1255,False
N1C3W2_M.txt,21,21,0,Solved,21,21,True,0.1285,False
N1C3W2_N.txt,22,22,0,Solved,22,22,True,0.1302,False
N1C3W2_O.txt,21,21,0,Solved,21,21,True,0.1324,False
N1C3W2_P.txt,18,18,0,Solved,18,18,True,0.1361,False
N1C3W2_Q.txt,19,19,0,Solved,19,19,True,0.1361,False
N1C3W2_R.txt,19,19,0,Solved,19,19,True,0.1315,False
N1C3W2_S.txt,21,21,0,Solved,21,21,True,0.1304,False
N1C3W2_T.txt,22,22,0,Solved,22,22,True,0.8744,False
N1C3W4_A.txt,21,21,0,Solved,21,21,True,0.1693,False
N1C3W4_B.txt,22,22,0,Solved,22,22,True,0.1371,False
N1C3W4_C.txt,24,24,0,Solved,24,24,True,0.1308,False
N1C3W4_D.txt,21,21,0,Solved,21,21,True,0.1411,False
N1C3W4_E.txt,23,23,0,Solved,23,23,True,0.5504,False
N1C3W4_F.txt,21,21,0,Solved,21,21,True,0.3649,False
N1C3W4_G.txt,23,23,0,Solved,23,23,True,0.1265,False
N1C3W4_H.txt,23,23,0,Solved,23,23,True,0.1309,False
N1C3W4_I.txt,23,23,0,Solved,23,,,5.0758,True
N1C3W4_J.txt,22,22,0,Solved,22,22,True,0.1713,False
N1C3W4_K.txt,24,24,0,Solved,24,24,True,0.2381,False
N1C3W4_L.txt,20,20,0,Solved,20,20,True,0.7268,False
N1C3W4_M.txt,21,21,0,Solved,21,21,True,0.1729,False
N1C3W4_N.txt,21,21,0,Solved,21,21,True,0.1363,False
N1C3W4_O.txt,22,22,0,Solved,22,22,True,0.1362,False
N1C3W4_P.txt,25,25,0,Solved,25,25,True,0.1337,False
N1C3W4_Q.txt,25,25,0,Solved,25,25,True,0.1399,False
N1C3W4_R.txt,22,22,0,Solved,22,22,True,0.1378,False
N1C3W4_S.txt,22,22,0,Solved,22,22,True,0.1353,False
N1C3W4_T.txt,24,24,0,Solved,24,24,True,0.1332,False
N2C1W1_A.txt,48,48,0,Solved,48,,,5.1419,True
N2C1W1_B.txt,49,49,0,Solved,49,,,5.1915,True
N2C1W1_C.txt,46,46,0,Solved,46,46,True,0.2954,False
N2C1W1_D.txt,50,50,0,Solved,50,,,5.1413,True
N2C1W1_E.txt,58,58,0,Solved,58,58,True,0.503,False
N2C1W1_F.txt,50,50,0,Solved,50,,,5.1345,True
N2C1W1_G.txt,60,60,0,Solved,60,,,5.198,True
N2C1W1_H.txt,52,52,0,Solved,52,52,True,0.2965,False
N2C1W1_I.txt,62,62,0,Solved,62,62,True,0.2451,False
N2C1W1_J.txt,59,59,0,Solved,59,59,True,0.242,False
N2C1W1_K.txt,55,55,0,Solved,55,55,True,0.2549,False
N2C1W1_L.txt,55,55,0,Solved,55,55,True,0.2624,False
N2C1W1_M.txt,46,46,0,Solved,46,46,True,0.2402,False
N2C1W1_N.txt,48,48,0,Solved,48,48,True,0.2546,False
N2C1W1_O.txt,48,48,0,Solved,48,48,True,0.256,False
N2C1W1_P.txt,54,54,0,Solved,54,54,True,0.2511,False
N2C1W1_Q.txt,46,46,0,Solved,46,46,True,0.2373,False
N2C1W1_R.txt,56,56,0,Solved,56,56,True,0.2425,False
N2C1W1_S.txt,45,45,0,Solved,45,45,True,0.2466,False
N2C1W1_T.txt,52,52,0,Solved,52,,,5.141,True
N2C1W2_A.txt,64,64,0,Solved,64,,,5.1476,True
N2C1W2_B.txt,61,61,0,Solved,61,61,True,0.2908,False
N2C1W2_C.txt,68,68,0,Solved,68,68,True,0.2469,False
N2C1W2_D.txt,74,74,0,Solved,74,74,True,0.2484,False
N2C1W2_E.txt,65,65,0,Solved,65,65,True,0.2443,False
N2C1W2_F.txt,65,65,0,Solved,65,,,5.1415,True
N2C1W2_G.txt,73,73,0,Solved,73,73,True,0.2449,False
N2C1W2_H.txt,70,70,0,Solved,70,70,True,0.2406,False
N2C1W2_I.txt,67,67,0,Solved,67,67,True,0.2417,False
N2C1W2_J.txt,67,67,0,Solved,67,67,True,0.2439,False
N2C1W2_K.txt,72,72,0,Solved,72,72,True,0.2369,False
N2C1W2_L.txt,62,62,0,Solved,62,,,5.1465,True
N2C1W2_M.txt,65,65,0,Solved,65,65,True,0.298,False
N2C1W2_N.txt,64,64,0,Solved,64,,,5.1309,True
N2C1W2_O.txt,64,64,0,Solved,64,64,True,0.2972,False
N2C1W2_P.txt,68,68,0,Solved,68,,,5.1465,True
N2C1W2_Q.txt,65,65,0,Solved,65,65,True,0.2366,False
N2C1W2_R.txt,67,67,0,Solved,67,67,True,0.249,False
N2C1W2_S.txt,66,66,0,Solved,66,66,True,0.2378,False
N2C1W2_T.txt,66,66,0,Solved,66,66,True,0.2484,False
N2C1W4_A.txt,73,73,0,Solved,73,,,5.1456,True
N2C1W4_B.txt,71,71,0,Solved,71,71,True,0.4149,False
N2C1W4_C.txt,77,77,0,Solved,77,77,True,0.2473,False
N2C1W4_D.txt,82,82,0,Solved,82,82,True,0.2504,False
N2C1W4_E.txt,73,73,0,Solved,73,,,5.1391,True
N2C1W4_F.txt,77,77,0,Solved,77,77,True,0.2718,False
N2C1W4_G.txt,71,71,0,Solved,71,71,True,0.2539,False
N2C1W4_H.txt,75,75,0,Solved,75,75,True,0.2415,False
N2C1W4_I.txt,73,73,0,Solved,73,73,True,0.2436,False
N2C1W4_J.txt,74,74,0,Solved,74,74,True,0.2421,False
N2C1W4_K.txt,70,70,0,Solved,70,70,True,0.2404,False
N2C1W4_L.txt,75,75,0,Solved,75,75,True,0.2621,False
N2C1W4_M.txt,72,72,0,Solved,72,,,5.1399,True
N2C1W4_N.txt,71,71,0,Solved,71,71,True,0.2881,False
N2C1W4_O.txt,80,80,0,Solved,80,80,True,0.2323,False
N2C1W4_P.txt,67,67,0,Solved,67,67,True,0.2417,False
N2C1W4_Q.txt,75,75,0,Solved,75,75,True,0.2365,False
N2C1W4_R.txt,70,70,0,Solved,70,70,True,0.2396,False
N2C1W4_S.txt,80,80,0,Solved,80,80,True,0.2489,False
N2C1W4_T.txt,70,70,0,Solved,70,70,True,0.2322,False
N2C2W1_A.txt,42,42,0,Solved,42,,,5.1454,True
N2C2W1_B.txt,50,50,0,Solved,50,50,True,0.2674,False
N2C2W1_C.txt,40,40,0,Solved,40,40,True,0.2366,False
N2C2W1_D.txt,42,42,0,Solved,42,42,True,0.2438,False
N2C2W1_E.txt,40,40,0,Solved,40,40,True,0.2464,False
N2C2W1_F.txt,49,49,0,Solved,49,49,True,0.2406,False
N2C2W1_G.txt,45,45,0,Solved,45,45,True,0.2438,False
N2C2W1_H.txt,46,46,0,Solved,46,,,5.1507,True
N2C2W1_I.txt,45,45,0,Solved,45,,,5.198,True
N2C2W1_J.txt,42,42,0,Solved,42,42,True,0.2992,False
N2C2W1_K.txt,41,41,0,Solved,41,41,True,0.2477,False
N2C2W1_L.txt,49,49,0,Solved,49,49,True,0.2372,False
N2C2W1_M.txt,44,44,0,Solved,44,,,5.1383,True
N2C2W1_N.txt,43,43,0,Solved,43,,,5.1994,True
N2C2W1_O.txt,50,50,0,Solved,50,50,True,0.3497,False
N2C2W1_P.txt,46,46,0,Solved,46,46,True,0.2432,False
N2C2W1_Q.txt,49,49,0,Solved,49,49,True,0.2435,False
N2C2W1_R.txt,41,41,0,Solved,41,41,True,0.2372,False
N2C2W1_S.txt,43,43,0,Solved,43,,,5.1468,True
N2C2W1_T.txt,39,39,0,Solved,39,39,True,0.2526,False
N2C2W2_A.txt,52,52,0,Solved,52,52,True,0.2404,False
N2C2W2_B.txt,56,56,0,Solved,56,,,5.1477,True
N2C2W2_C.txt,53,53,0,Solved,53,53,True,0.2966,False
N2C2W2_D.txt,51,51,0,Solved,51,51,True,0.2481,False
N2C2W2_E.txt,54,54,0,Solved,54,,,5.1319,True
N2C2W2_F.txt,48,48,0,Solved,48,,,5.1984,True
N2C2W2_G.txt,53,53,0,Solved,53,53,True,0.2988,False
N2C2W2_H.txt,53,53,0,Solved,53,53,True,0.2541,False
N2C2W2_I.txt,49,49,0,Solved,49,,,5.1374,True
N2C2W2_J.txt,56,56,0,Solved,56,56,True,0.2966,False
N2C2W2_K.txt,50,50,0,Solved,50,,,5.1444,True
N2C2W2_L.txt,52,52,0,Solved,52,,,5.1981,True
N2C2W2_M.txt,54,54,0,Solved,54,,,5.1911,True
N2C2W2_N.txt,51,51,0,Solved,51,51,True,0.2957,False
N2C2W2_O.txt,50,50,0,Solved,50,50,True,0.2449,False
N2C2W2_P.txt,50,50,0,Solved,50,,,5.144,True
N2C2W2_Q.txt,54,54,0,Solved,54,54,True,0.2898,False
N2C2W2_R.txt,51,51,0,Solved,51,,,5.1392,True
N2C2W2_S.txt,58,58,0,Solved,58,58,True,0.3002,False
N2C2W2_T.txt,56,56,0,Solved,56,56,True,0.2376,False
N2C2W4_A.txt,57,57,0,Solved,57,,,5.1405,True
N2C2W4_B.txt,60,60,0,Solved,60,60,True,0.2493,False
N2C2W4_C.txt,65,65,0,Solved,65,65,True,0.2453,False
N2C2W4_D.txt,61,61,0,Solved,61,61,True,0.237,False
N2C2W4_E.txt,60,60,0,Solved,60,60,True,0.2425,False
N2C2W4_F.txt,57,57,0,Solved,57,57,True,0.24,False
N2C2W4_G.txt,61,61,0,Solved,61,61,True,0.245,False
N2C2W4_H.txt,61,61,0,Solved,61,61,True,0.2399,False
N2C2W4_I.txt,58,58,0,Solved,58,58,True,0.6441,False
N2C2W4_J.txt,60,60,0,Solved,60,60,True,0.2449,False
N2C2W4_K.txt,59,59,0,Solved,59,,,5.1428,True
N2C2W4_L.txt,57,57,0,Solved,57,57,True,0.2934,False
N2C2W4_M.txt,60,60,0,Solved,60,60,True,0.2409,False
N2C2W4_N.txt,63,63,0,Solved,63,63,True,0.3198,False
N2C2W4_O.txt,62,62,0,Solved,62,62,True,0.2433,False
N2C2W4_P.txt,60,60,0,Solved,60,60,True,0.2476,False
N2C2W4_Q.txt,62,62,0,Solved,62,62,True,0.2526,False
N2C2W4_R.txt,56,56,0,Solved,56,56,True,0.2368,False
N2C2W4_S.txt,55,55,0,Solved,55,55,True,0.2416,False
N2C2W4_T.txt,57,57,0,Solved,57,,,5.143,True
N2C3W1_A.txt,35,35,0,Solved,35,35,True,0.2435,False
N2C3W1_B.txt,35,35,0,Solved,35,35,True,0.2501,False
N2C3W1_C.txt,35,35,0,Solved,35,35,True,0.2411,False
N2C3W1_D.txt,37,37,0,Solved,37,37,True,0.247,False
N2C3W1_E.txt,34,34,0,Solved,34,34,True,0.2419,False
N2C3W1_F.txt,35,35,0,Solved,35,35,True,0.2417,False
N2C3W1_G.txt,33,33,0,Solved,33,33,True,0.2432,False
N2C3W1_H.txt,35,35,0,Solved,35,35,True,0.2523,False
N2C3W1_I.txt,34,34,0,Solved,34,34,True,0.2437,False
N2C3W1_J.txt,33,33,0,Solved,33,33,True,0.2565,False
N2C3W1_K.txt,36,36,0,Solved,36,36,True,0.2477,False
N2C3W1_L.txt,35,35,0,Solved,35,35,True,0.2444,False
N2C3W1_M.txt,31,31,0,Solved,31,31,True,0.2514,False
N2C3W1_N.txt,32,32,0,Solved,32,32,True,0.2424,False
N2C3W1_O.txt,35,35,0,Solved,35,35,True,0.246,False
N2C3W1_P.txt,35,35,0,Solved,35,35,True,0.2488,False
N2C3W1_Q.txt,34,34,0,Solved,34,34,True,0.2472,False
N2C3W1_R.txt,33,33,0,Solved,33,33,True,0.2487,False
N2C3W1_S.txt,36,36,0,Solved,36,36,True,0.2317,False
N2C3W1_T.txt,35,35,0,Solved,35,35,True,0.2455,False
N2C3W2_A.txt,41,41,0,Solved,41,41,True,0.2441,False
N2C3W2_B.txt,43,43,0,Solved,43,,,5.1408,True
N2C3W2_C.txt,41,41,0,Solved,41,41,True,0.3068,False
N2C3W2_D.txt,41,41,0,Solved,41,,,5.1405,True
N2C3W2_E.txt,39,39,0,Solved,39,,,5.1949,True
N2C3W2_F.txt,39,39,0,Solved,39,39,True,0.299,False
N2C3W2_G.txt,41,41,0,Solved,41,41,True,0.2434,False
N2C3W2_H.txt,38,38,0,Solved,38,38,True,0.2412,False
N2C3W2_I.txt,44,44,0,Solved,44,44,True,0.2405,False
N2C3W2_J.txt,43,43,0,Solved,43,43,True,0.2408,False
N2C3W2_K.txt,42,42,0,Solved,42,42,True,0.2389,False
N2C3W2_L.txt,41,41,0,Solved,41,,,5.1428,True
N2C3W2_M.txt,43,43,0,Solved,43,43,True,0.2923,False
N2C3W2_N.txt,41,41,0,Solved,41,,,5.1395,True
N2C3W2_O.txt,45,45,0,Solved,45,,,5.1956,True
N2C3W2_P.txt,41,41,0,Solved,41,41,True,0.2496,False
N2C3W2_Q.txt,41,41,0,Solved,41,41,True,0.2421,False
N2C3W2_R.txt,40,40,0,Solved,40,40,True,0.242,False
N2C3W2_S.txt,43,43,0,Solved,43,43,True,5.0195,True
N2C3W2_T.txt,43,43,0,Solved,43,43,True,0.2526,False
N2C3W4_A.txt,43,43,0,Solved,43,,,5.1417,True
N2C3W4_B.txt,45,45,0,Solved,45,45,True,0.3354,False
N2C3W4_C.txt,42,42,0,Solved,42,42,True,0.2501,False
N2C3W4_D.txt,44,44,0,Solved,44,,,5.1363,True
N2C3W4_E.txt,47,47,0,Solved,47,47,True,0.2948,False
N2C3W4_F.txt,45,45,0,Solved,45,,,5.1394,True
N2C3W4_G.txt,44,44,0,Solved,44,44,True,0.2446,False
N2C3W4_H.txt,44,44,0,Solved,44,,,5.1526,True
N2C3W4_I.txt,44,44,0,Solved,44,44,True,0.2876,False
N2C3W4_J.txt,43,43,0,Solved,43,,,5.1414,True
N2C3W4_K.txt,47,47,0,Solved,47,,,5.1975,True
N2C3W4_L.txt,45,45,0,Solved,45,45,True,2.3913,False
N2C3W4_M.txt,44,44,0,Solved,44,,,5.2067,True
N2C3W4_N.txt,45,45,0,Solved,45,,,5.1864,True
N2C3W4_O.txt,45,45,0,Solved,45,,,5.1889,True
N2C3W4_P.txt,45,45,0,Solved,45,,,5.2138,True
N2C3W4_Q.txt,46,46,0,Solved,46,,,5.2013,True
N2C3W4_R.txt,42,42,0,Solved,42,,,5.2373,True
N2C3W4_S.txt,42,42,0,Solved,42,42,True,0.2995,False
N2C3W4_T.txt,46,46,0,Solved,46,,,5.1406,True
N3C1W1_A.txt,105,105,0,Solved,105,105,True,0.7614,False
N3C1W1_B.txt,114,114,0,Solved,114,,,5.3777,True
N3C1W1_C.txt,99,99,0,Solved,99,99,True,0.7435,False
N3C1W1_D.txt,108,108,0,Solved,108,108,True,0.7378,False
N3C1W1_E.txt,98,98,0,Solved,98,,,5.4486,True
N3C1W1_F.txt,113,113,0,Solved,113,113,True,0.7476,False
N3C1W1_G.txt,111,111,0,Solved,111,111,True,0.7537,False
N3C1W1_H.txt,104,104,0,Solved,104,104,True,3.2151,False
N3C1W1_I.txt,100,100,0,Solved,100,100,True,0.7491,False
N3C1W1_J.txt,108,108,0,Solved,108,108,True,0.695,False
N3C1W1_K.txt,102,102,0,Solved,102,,,5.3931,True
N3C1W1_L.txt,97,97,0,Solved,97,97,True,0.6915,False
N3C1W1_M.txt,106,106,0,Solved,106,106,True,0.703,False
N3C1W1_N.txt,93,93,0,Solved,93,93,True,0.7001,False
N3C1W1_O.txt,98,98,0,Solved,98,,,5.3931,True
N3C1W1_P.txt,108,108,0,Solved,108,108,True,0.7466,False
N3C1W1_Q.txt,98,98,0,Solved,98,,,5.4455,True
N3C1W1_R.txt,99,99,0,Solved,99,99,True,0.6963,False
N3C1W1_S.txt,100,100,0,Solved,100,,,5.4215,True
N3C1W1_T.txt,102,102,0,Solved,102,102,True,0.7522,False
N3C1W2_A.txt,125,125,0,Solved,125,125,True,0.7509,False
N3C1W2_B.txt,126,126,0,Solved,126,126,True,0.7483,False
N3C1W2_C.txt,125,125,0,Solved,125,125,True,0.7358,False
N3C1W2_D.txt,139,139,0,Solved,139,139,True,0.75,False
N3C1W2_E.txt,132,132,0,Solved,132,132,True,0.7564,False
N3C1W2_F.txt,123,123,0,Solved,123,123,True,0.7481,False
N3C1W2_G.txt,132,132,0,Solved,132,,,5.4444,True
N3C1W2_H.txt,129,129,0,Solved,129,129,True,0.7612,False
N3C1W2_I.txt,126,126,0,Solved,126,126,True,0.7485,False
N3C1W2_J.txt,126,126,0,Solved,126,,,5.4367,True
N3C1W2_K.txt,120,120,0,Solved,120,,,5.4418,True
N3C1W2_L.txt,136,136,0,Solved,136,136,True,0.8893,False
N3C1W2_M.txt,136,136,0,Solved,136,136,True,0.7026,False
N3C1W2_N.txt,136,136,0,Solved,136,136,True,0.6873,False
N3C1W2_O.txt,127,127,0,Solved,127,127,True,0.6889,False
N3C1W2_P.txt,126,126,0,Solved,126,,,5.3878,True
N3C1W2_Q.txt,135,135,0,Solved,135,135,True,0.7471,False
N3C1W2_R.txt,123,123,0,Solved,123,,,5.4459,True
N3C1W2_S.txt,130,130,0,Solved,130,,,5.4299,True
N3C1W2_T.txt,136,136,0,Solved,136,136,True,0.7379,False
N3C1W4_A.txt,149,149,0,Solved,149,,,5.444,True
N3C1W4_B.txt,149,149,0,Solved,149,149,True,0.7589,False
N3C1W4_C.txt,146,146,0,Solved,146,146,True,0.7494,False
N3C1W4_D.txt,148,148,0,Solved,148,148,True,0.7468,False
N3C1W4_E.txt,142,142,0,Solved,142,,,5.4358,True
N3C1W4_F.txt,140,140,0,Solved,140,,,5.4389,True
N3C1W4_G.txt,148,148,0,Solved,148,148,True,0.7473,False
N3C1W4_H.txt,141,141,0,Solved,141,,,5.4384,True
